Date	Time	Barcode	Cycle	Info	
9/15/2017	22:31:26.445	CB1C1ANXX	95	Start chemistry	
9/15/2017	22:35:43.140	CB1C1ANXX	95	End chemistry	
9/15/2017	22:48:06.045	CB1C1ANXX	95	Start Imaging	
9/15/2017	23:02:49.365	CB1C1ANXX	95	End Imaging	
9/15/2017	23:02:54.414	CB1C1ANXX	96	Start chemistry	
9/15/2017	23:07:16.318	CB1C1ANXX	96	End chemistry	
9/15/2017	23:19:14.513	CB1C1ANXX	96	Start Imaging	
9/15/2017	23:34:01.936	CB1C1ANXX	96	End Imaging	
9/15/2017	23:34:07.077	CB1C1ANXX	97	Start chemistry	
9/15/2017	23:38:25.348	CB1C1ANXX	97	End chemistry	
9/15/2017	23:50:29.541	CB1C1ANXX	97	Start Imaging	
9/16/2017	00:05:31.869	CB1C1ANXX	97	End Imaging	
9/16/2017	00:05:37.058	CB1C1ANXX	98	Start chemistry	
9/16/2017	00:09:56.234	CB1C1ANXX	98	End chemistry	
9/16/2017	00:22:18.693	CB1C1ANXX	98	Start Imaging	
9/16/2017	00:37:06.454	CB1C1ANXX	98	End Imaging	
9/16/2017	00:37:11.092	CB1C1ANXX	99	Start chemistry	
9/16/2017	00:41:29.546	CB1C1ANXX	99	End chemistry	
9/16/2017	00:53:41.404	CB1C1ANXX	99	Start Imaging	
9/16/2017	01:08:27.322	CB1C1ANXX	99	End Imaging	
9/16/2017	01:08:32.202	CB1C1ANXX	100	Start chemistry	
9/16/2017	01:12:49.844	CB1C1ANXX	100	End chemistry	
9/16/2017	01:25:21.945	CB1C1ANXX	100	Start Imaging	
9/16/2017	01:40:07.446	CB1C1ANXX	100	End Imaging	
9/16/2017	01:40:12.072	CB1C1ANXX	101	Start chemistry	
